Entry,Gene names  (primary ),Ambig,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
P73558,gatA,No,ATPbroad_T,-0.40834494938543703,0.10790055342386821,-3.7844564872742237,6,0.009132511243422403,0.08998456032509781,NA,0,0
Q6ZEK4,NA,No,ATPbroad_T,0.37001584294077267,0.27269202008816046,1.3569001499242541,6,0.2236378139994437,0.4180232187587628,NA,0,0
Q55445,NA,No,ATPbroad_T,-1.3072390813401142,1.117394920426962,-1.1698988937954111,5,0.2947676410745448,0.4767777808946703,NA,0.125,0
P72587,speA2,No,ATPbroad_T,0.10987170401670796,0.08420269679405838,1.3048478041674891,6,0.23975274497173515,0.42989708761384815,NA,0,0
P73675,NA,No,ATPbroad_T,0.24226207179179926,0.14200093983719986,1.7060596364330125,6,0.13887288654800845,0.33788038593143677,NA,0,0
Q6ZE69,NA,No,ATPbroad_T,0.15836811568076894,0.11869658293472228,1.3342264095998804,6,0.2305339120840788,0.42251437129402836,NA,0,0
P72851,rpmB,No,ATPbroad_T,0.16278477155026758,0.12177974477786858,1.3367146716163176,6,0.22976788771400747,0.42183027590571626,NA,0,0
P77960,trpA,No,ATPbroad_T,-0.044911826560697345,0.19246191578530125,-0.23335435676946203,6,0.8232437164728219,0.8912941043264222,NA,0,0
P27724,ndhH,No,ATPbroad_T,-0.1020042377769267,0.16347210211726731,-0.6239856003304686,6,0.5556027162000858,0.7014056027147312,NA,0,0
P73623,NA,No,ATPbroad_T,-0.34809658124464266,0.13852955004433523,-2.5127965920140305,6,0.04573003619660465,0.20899587514045298,NA,0,0
P72745,NA,No,ATPbroad_T,-0.607354697499844,0.5837536590788421,-1.0404297909810862,6,0.3382377387761506,0.5196957531410382,NA,0,0
Q55898,ppk,No,ATPbroad_T,-0.17933262058417312,0.1302913845962739,-1.3763966139423598,6,0.21785758307599812,0.4126614536571816,NA,0,0
Q6ZEL9,NA,No,ATPbroad_T,-1.4286697761610325,0.6741230163467744,-2.119301287031139,5,0.08758309729179836,0.2833260436487694,NA,0.125,0
Q55950,NA,No,ATPbroad_T,-0.1390681807708779,0.28391823577307074,-0.4898177124558913,6,0.6416556559549722,0.7699867871459666,NA,0,0
P73014,rpmF,No,ATPbroad_T,0.9461580942822807,0.06185064093395966,15.29746628321169,6,4.928516647906278e-6,8.822044799752238e-4,NA,0,0
P74380,NA,No,ATPbroad_T,0.23398414517920613,0.16353594518668182,1.4307811344601047,6,0.20244512233440615,0.3953783065768142,NA,0,0
Q6ZES1,NA,No,ATPbroad_T,0.2471251592468394,0.1949231600214078,1.2678080902223132,6,0.2518422214392968,0.43555321389018475,NA,0,0
P74756,NA,No,ATPbroad_T,0.2741952750355784,0.14682642447641464,1.8674790727443176,6,0.11106628251775552,0.30736933164648683,NA,0,0
P74230,rpsL,No,ATPbroad_T,-0.8846827300223099,1.2317403886601388,-0.7182379811257542,6,0.49961002408786914,0.6546132956972547,NA,0,0
Q55130,NA,No,ATPbroad_T,0.04893424151229395,0.13590018609942497,0.36007486756856616,6,0.7311266091781381,0.8335774716107434,NA,0,0
P73685,NA,No,ATPbroad_T,-0.10382088041576279,0.21379334927029733,-0.48561323712882587,6,0.6444645823432931,0.7724943766034561,NA,0,0
P73686,NA,No,ATPbroad_T,0.016056507704694682,0.14148608322960654,0.11348471410179509,6,0.9133482699958937,0.9536683210360165,NA,0,0
P73098,dnaK3,No,ATPbroad_T,-0.08168317930321295,0.12249940548227693,-0.6668046998402027,6,0.5296892480461004,0.6788618763741192,NA,0,0
P29255,psaB,No,ATPbroad_T,-1.0061747511228167,0.31999795571608647,-3.144316184368161,6,0.01995819481732486,0.13566519768232213,NA,0,0
P73198,gumB,No,ATPbroad_T,-0.7703495700971512,0.45326241380220156,-1.6995664026828459,4,0.16443847578066118,0.3605112663793936,NA,0.25,0
P73353,NA,No,ATPbroad_T,-0.27056870647172465,0.20838610573848076,-1.298400896321185,6,0.2418192186719461,0.42996837582670955,NA,0,0
P74514,NA,No,ATPbroad_T,-1.3190264209270666,0.7166837776925667,-1.8404580401886599,6,0.11530494002653935,0.3119332634471115,NA,0,0
P72629,NA,No,ATPbroad_T,-0.8542314102111412,0.6042514736177623,-1.4137018236740144,6,0.20717441136668469,0.3997142465529752,NA,0,0
P74490,pdhA,No,ATPbroad_T,0.47457454381702485,0.10252733285671854,4.628761234628433,6,0.0035823378988957266,0.05290688970078307,NA,0,0
P73370,NA,No,ATPbroad_T,-0.07994867096496193,0.1484852910117927,-0.5384282201973286,6,0.6096596193653301,0.7483136356552738,NA,0,0
P74524,NA,No,ATPbroad_T,-0.013670213456394388,0.6179119717876557,-0.022123237743469602,6,0.9830670352315423,0.9895163972246265,NA,0,0
P73471,purC,No,ATPbroad_T,-0.6537942005230551,0.5347627581488209,-1.2225873820874948,6,0.26732692796489976,0.4479081445152923,NA,0,0
P73326,argB,No,ATPbroad_T,0.12450129199240191,0.22038550407183263,0.5649250503872607,6,0.592602701464565,0.7323996563555152,NA,0,0
P72988,lpxC,No,ATPbroad_T,0.3573648169562357,0.5665142784305441,0.6308134332399697,6,0.5514184316640285,0.7000276543819935,NA,0,0
Q55690,glyS,No,ATPbroad_T,-0.17535048623747532,0.2060332364880043,-0.8510786377307847,6,0.42737991713549195,0.5922385836331142,NA,0,0
P73042,NA,No,ATPbroad_T,-0.15580598287691125,0.6215646346581728,-0.25066738708935105,6,0.8104343656212318,0.8865779697991826,NA,0,0
P73723,sdhB,No,ATPbroad_T,0.46029403743659875,0.27118423659028346,1.6973480583682683,6,0.14055326495163145,0.33788038593143677,NA,0,0
P73849,comB,No,ATPbroad_T,-0.19407965165925936,0.2431525619522434,-0.7981805747840639,6,0.45518790324596914,0.6165133446767799,NA,0,0
P74592,hisZ,No,ATPbroad_T,0.6384772611845662,0.1296276752485306,4.9254702744644305,6,0.00264222028857497,0.04809736593100878,NA,0,0
P73909,NA,No,ATPbroad_T,0.356738437192872,0.2755346064634912,1.2947137267860416,6,0.24300819751099878,0.42996837582670955,NA,0,0
P74344,moeB,No,ATPbroad_T,0.038061358653921226,0.0645782458025175,0.5893835947528548,6,0.5771066727605283,0.7223922687002416,NA,0,0
P73504,NA,No,ATPbroad_T,0.5123062733673547,0.17673737088474026,2.898686739554684,6,0.02738134400457759,0.1615800190160238,NA,0,0
P74159,petF,No,ATPbroad_T,-0.28139325984391506,0.14781362977675158,-1.903703063573459,6,0.10562611113107723,0.3061325952259617,NA,0,0
P73296,rplQ,No,ATPbroad_T,0.19219650095918275,0.24080541681644868,0.798140272341475,6,0.45520957386283656,0.6165133446767799,NA,0,0
Q55081,phrA,No,ATPbroad_T,0.1692767620078621,0.0990474324450495,1.709047451601283,6,0.13830106796249164,0.33788038593143677,NA,0,0
P73080,NA,No,ATPbroad_T,-0.41164860563278255,0.3225874515275452,-1.276083752432114,6,0.2490953010651522,0.433652382152218,NA,0,0
P74587,carA,No,ATPbroad_T,0.16994794583902192,0.3793639334479244,0.4479812940951352,6,0.6698882923281599,0.7967442147956189,NA,0,0
Q55622,nrdR,No,ATPbroad_T,1.4392525382342463,0.3028878949678671,4.751766452690142,6,0.00315298107486095,0.05054181603583075,NA,0,0
P73820,prmA,No,ATPbroad_T,0.0639462208457033,0.08153258240184041,0.7843026549869203,6,0.46269348423408196,0.6235041431209587,NA,0,0
P72887,rfbC,No,ATPbroad_T,0.8150576030687965,0.18807451890187968,4.333695004659403,6,0.004908882842978635,0.06202517851010651,NA,0,0
Q55905,ppsA,No,ATPbroad_T,0.12008003158083781,0.4173158813919239,0.28774373786188157,6,0.7832231978732684,0.8671976438308148,NA,0,0
Q55961,NA,No,ATPbroad_T,0.5096064700563673,0.14295235791606237,3.564869285721009,6,0.011857301110677954,0.10270894099538819,NA,0,0
Q55564,NA,No,ATPbroad_T,-0.03298425945895855,0.14839726020248967,-0.2222700029229055,6,0.831476417319754,0.8956927504527742,NA,0,0
Q55144,trpG,No,ATPbroad_T,-0.3259581634936093,0.19260752995468133,-1.692343822540604,6,0.14152742872241175,0.33848153289934957,NA,0,0
Q55943,NA,Yes,ATPbroad_T,0.22655919733550398,0.08451514227273627,2.6806935567165184,6,0.036502401614694424,0.19601789667090908,NA,0,0
P72645,NA,No,ATPbroad_T,0.14787491461945493,0.09599794148298711,1.540396724503322,6,0.17439403295294098,0.3701565047262028,NA,0,0
P73585,murQ,No,ATPbroad_T,0.2955416803911404,0.18436578203868956,1.6030180715916165,6,0.1600512525809097,0.35771638022313196,NA,0,0
Q55131,NA,No,ATPbroad_T,0.022461859435773494,0.1231255451443908,0.18243053794752506,6,0.8612526689930851,0.9170008510146758,NA,0,0
P72668,NA,No,ATPbroad_T,-3.5240497773851347,0.5706095285394243,-6.175939238879452,4,0.0034914259860889807,0.05290688970078307,NA,0.25,0
P72647,NA,No,ATPbroad_T,-0.8740785738623753,0.22477762073375682,-3.88863700491651,6,0.008089468853324622,0.08474450672078242,NA,0,0
P73290,purA,No,ATPbroad_T,0.33787343203632847,0.18108975555072343,1.8657788288950987,6,0.11132837058704226,0.30736933164648683,NA,0,0
Q55793,csd,No,ATPbroad_T,-1.165828574333158,0.569047891186524,-2.0487354269994467,6,0.08639314511688978,0.28084989085888096,NA,0,0
P73608,glgX,No,ATPbroad_T,0.48177706086518873,0.1545818635043068,3.1166467394266206,6,0.02067300716669007,0.1381760832603768,NA,0,0
Q6ZET9,NA,No,ATPbroad_T,-0.25945283459611695,0.1729346117648873,-1.500294428907356,6,0.18420681557615648,0.38192687244940554,NA,0,0
P73396,NA,No,ATPbroad_T,0.541042933808578,0.11807017235790865,4.582384551523335,6,0.0037610657873652364,0.05385846207507019,NA,0,0
P53383,mrp,No,ATPbroad_T,-1.6101335781935648,0.32033747596116197,-5.02636656345753,5,0.004013250452851391,0.055332559899829686,NA,0.125,0
P74025,NA,No,ATPbroad_T,0.518658576846082,0.25517162171761604,2.032587218574219,6,0.08834666189075557,0.28408477506189067,NA,0,0
Q6ZEN5,NA,No,ATPbroad_T,0.005066132732347318,0.3138391274856039,0.01614245098415814,6,0.9876441360088983,0.9904106461937972,NA,0,0
Q55817,NA,No,ATPbroad_T,0.03408203281668046,0.1070581582482387,0.31835063646110473,6,0.7610086027132723,0.8513783742854734,NA,0,0
Q6ZE89,NA,No,ATPbroad_T,-0.10508316603582486,0.2420388754502305,-0.4341582146271073,6,0.6793512018772505,0.8017837261716122,NA,0,0
P73674,NA,No,ATPbroad_T,0.06616231398728604,0.129967643575925,0.5090675814910431,6,0.6288785231023166,0.7624323298766695,NA,0,0
Q6ZEF4,NA,No,ATPbroad_T,5.198549826383756,0.3858943619911862,13.471432439592084,5,4.0358106426108264e-5,0.0028896404201093516,NA,0.125,0
Q55639,NA,No,ATPbroad_T,-1.301149669758365,0.7992848319454322,-1.6278923579613176,5,0.16447641372980515,0.3605112663793936,NA,0.125,0
P74009,NA,No,ATPbroad_T,1.0346646050154962,0.16283137033941517,6.354209283252859,6,7.123800176735973e-4,0.023909254343170108,NA,0,0
P29254,psaA,No,ATPbroad_T,-0.569391094478197,0.2654198928404517,-2.1452464937150264,6,0.07560074397069672,0.2610778103682581,NA,0,0
P73052,NA,No,ATPbroad_T,0.42370469145347067,0.13774141432482487,3.0760878529552547,6,0.021771721975311298,0.14325629117834748,NA,0,0
Q55176,NA,No,ATPbroad_T,-1.3596879461154927,1.329216144952535,-1.0229246396672722,6,0.34580377515930705,0.5282976593472202,NA,0,0
P72933,gloB,No,ATPbroad_T,-0.3704415111319254,0.25447817494773756,-1.4556906941351784,6,0.19572552796799725,0.39218466390034773,NA,0,0
P74576,speA1,No,ATPbroad_T,0.33134942271470985,0.18274312811136834,1.813197717140844,6,0.1197434148217229,0.3159784496335605,NA,0,0
P72801,NA,No,ATPbroad_T,0.46703306899660113,0.1912604253968048,2.441869864231743,6,0.050343627114509903,0.21731096957487533,NA,0,0
Q55699,NA,No,ATPbroad_T,-0.006369204419678144,0.2203416383645061,-0.02890604094148431,6,0.9778770158539636,0.9889264736602229,NA,0,0
P73461,NA,No,ATPbroad_T,0.050278162015005644,0.10077227527901415,0.49892851854140957,6,0.6355911968728474,0.7661334965672706,NA,0,0
P73359,NA,No,ATPbroad_T,0.23124195976100714,0.14910431008769504,1.5508737448636005,6,0.1719125468630489,0.3678163850231532,NA,0,0
P73680,NA,No,ATPbroad_T,0.4668673740286321,0.19988627849495252,2.335664946808349,6,0.058187957228269305,0.23534849341033448,NA,0,0
Q55625,rbfA,No,ATPbroad_T,0.10758385903218669,0.24896853770797592,0.43211829102027194,6,0.6807531724851614,0.8024480240703239,NA,0,0
